Not_filtered,Be,B,Na,Mg ,Al,P,K,Ca,V,Cr,Mn,Fe,Co,Ni,Cu,Zn,As,Se,Mo,Pd,Ag,Cd,Sn,Sb,Ba,W,Pt,Hg,Tl,Pb,U
0,1986.18105234014,147502.245969238,5512847.84814577,504280.717603907,-108477.564700741,2964079.58810061,10150410.9577116,2398169.9545952,26883.0298050298,2399.05631515747,196368.150088372,55687.6392500849,5689420.08855187,-1760.91184563404,20431.3124939226,2475815.28272075,22261.0226515312,707254.287042115,34446.3755763992,1769.55342925502,1799.56947832256,1529.92763671695,1685.0575487982,12190.8275684332,21891.6634653476,1654.54064905029,2690.77548355941,192.882664302972,1089.56129999586,1231.9197537692,1650.92870712584
0,1533.91591731054,8233.17693590478,3982738.80450776,430368.720193679,-104785.797233831,2632899.67715339,8877132.20300296,1865360.26067349,29702.5132685547,1888.77956699714,178140.372122196,129005.03601189,3775063.44280936,-1792.01042696764,21068.4711001111,2021708.15344318,26725.3427278828,276792.884671383,22202.9314940862,1129.20999470688,1585.74544693132,1239.81880096636,2221.17946820784,7198.30542911073,17907.7968499596,1033.17133232208,1974.15815463293,263.499990283141,795.689504674473,1846.10131482605,1215.60066781336
1,-0.417767460034168,1100.28156922567,1469.81010981203,11183.7390843129,580.356397712197,19987.6470693029,19028.9227408959,12595.4245702935,10.6497466876148,34.4704073238422,67.4309936622374,1288.72780308841,1043.44708692487,12.4082327139286,175.226368593694,402.042208089076,28.1178068677146,618.053002424925,10.9350008737668,-0.221349142432393,17.2809023998103,0.550305489964454,12.6215871941922,7.89946553386483,115.718279136992,-0.004227207792429,1.22621763949068,4.57619089047516,-0.802167636681782,2.44491709959789,-0.199350576540248
1,0.503841697333204,636.409807170589,7094184.57604922,319540.929390644,35228.4905263735,809591.644882311,26610448.1580429,1345034.31554398,63.9638556788198,316.851356554452,2591.48417365601,16379.624298822,175.445754605352,168.694010131703,392.88636829882,1509.40915613303,20.120459760485,744.332173180258,33.4604539002403,2.09686868536242,0.407016573993653,4.02390083188232,6.03587966704966,13.895403141634,1485.69900793473,1.44882849591919,3.03777874033948,9.32555833409242,2.22628554176177,18.2263214453586,5.50433155979039
1,0.106768344277413,461.222456454162,7226471.31288242,167088.615511937,6211.04777987387,677163.84805752,32543530.0531149,802916.11737628,47.7063685708458,320.228839587601,333.283663237523,6455.10635037423,90.0334771095549,179.545967200647,553.536246488322,821.776438024099,13.1226731851527,916.723674400199,24.3459199086228,0.778313793627065,-0.141302167135739,1.00535186070898,9.74989803385134,13.4347870744876,966.908475557335,1.77160329562839,1.73701969087591,7.69541469248108,-0.685896831562562,9.17476625307684,4.09998728569708
1,9.65436852536103,4327.47059234887,53409275.5994841,2819452.71982707,11233.4166453391,6335367.55188311,6175933.11843108,1282095.1596246,6369.82169576273,837.740096247815,43984.0008542717,44050.2246130882,172.933066216523,457.896299482854,3660.51397324212,20241524.6475066,48.5272411913806,1188.95575966409,1206.92019235261,12.3105067398915,20.053856550772,89.3602963064705,32.109077702372,24.6636209494914,1993.87984481542,126.446792292984,9.67505931153524,7.23897217350507,57.8915800135552,107.290045114015,33.1728852365658
1,-0.057928413180341,6450.26010646986,212594.607057694,266412.462927979,1768.87347181012,686203.97196422,1815115.50957735,990194.34377794,108.346219368844,35.2380860724619,3863.93829948699,1342.21362425933,205.084111198431,63.674620064745,182.128366592614,1913.19278341284,24.1721289799678,1043.55109435508,17.3568545457541,1.09671712369991,-0.254248374650782,13.4241819981138,3.04834668651212,7.10283191813201,1110.42986412454,1.7689468391856,3.62505596363668,4.82705988621643,-0.450567243012597,6.80953174425811,1.46093916210817
1,0.245856806905362,5010.09102776665,5238717.83726096,531721.599782965,16076.187058495,967642.131170056,7637939.79651708,1552898.25484972,53.175832427753,87.2204377488484,3294.39927169923,11937.7268807339,79.0313443387229,118.432387643428,282.952242562825,1473.08105261416,41.3848217331102,1866.51902736761,112.647876466175,1.44877488624695,1.86823077783066,1.86884721325891,11.9775056231401,11.9946273971832,1939.42725290226,18.9915692638201,8.35763124072491,4.66953330322333,2.34527353401244,67.0887838531536,7.7090080684737
1,1.88490721909565,5072.10568548774,5257252.62263464,2129949.11231705,29323.6632077909,10145375.3049763,7553329.62378002,13026852.5316545,115.411757999583,404.640523601275,9182.19472889664,55477.5792620408,201.183043863375,1592.21719818105,6295.48978972516,56768.3575952779,26.2900299846381,2171.56654965138,305.501545509299,3.80115960338977,0.493649249451432,40.711963153939,4.66748200288334,15.7544494780016,3617.62022168338,71.613377332863,5.39594493463329,4.05174875963782,5.25710079552235,31.4295719390627,6.61566327174453
1,0.022257608548408,820.017975251817,1774670.23935368,938428.343832029,1141.17535693531,10820107.9087931,7414994.87798791,11273036.3005234,70.6816049175517,22.9366840485543,13177.2791127745,19134.5343191909,34.5104111157606,397.691225133147,1543.31408857985,65239.1246346352,22.1739708088424,2345.86073289128,514.850738652635,1.67359981095011,1.47329433238207,4.54679832830988,2.30155258305898,19.2834320280268,1258.87348624747,0.885417560339787,3.79621032857629,3.1927555912485,-0.179498537347468,7.54819673270979,4.06124427804608
